"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"確認申請が不要なもの：法6条2項

種別：防○○地域、準○○地域に該当しない
規模：○○m2以内
工事種別：増○○、改○○、移○○","確認申請が不要なもの：法6条2項

種別：防火地域、準防火地域に該当しない
規模：10m2以内
工事種別：増築、改築、移転"
"用途変更時に確認申請が必要ないもの：法87条
法別表○○(い)で延べ面積が○○m2超であったとしても、
用途変更が類似用途相互間の場合は、確認申請が○○。

類似用途の内容は令○○条の○○
①劇○○、映○○、演○○
②公○○、集○○
③診○○（患者の収容施設があるもの）、児○○等（1低専、2低専、田住除く）
④ホ○○、旅○○
⑤下○○、寄○○
⑥博○○、美○○、図○○（1低専、2低専、田住除く）
⑦体○○、ボ○○場、ゴ○○場、バ○○場（1低専、2低専、工専除く）
⑧百○○、マ○○、物○○業を営む店舗
⑨キ○○、カ○○、ナ○○、バ○○（準住、近商除く）
⑩待○○、料○○
⑪映○○スタジオ、テ○○スタジオ","用途変更時に確認申請が必要ないもの：法87条
法別表2(い)で延べ面積が200m2であったとしても、
用途変更が類似用途相互間の場合は、確認申請が不要。

類似用途の内容は令137条の18
①劇場、映画館、演芸場
②公会堂、集会場
③診療所（患者の収容施設があるもの）、児童福祉施設等※1
④ホテル、旅館
⑤下宿、寄宿舎
⑥博物館、美術館、図書館※1
⑦体育館、ボーリング場、スケート場、水泳場、スキー場、ゴルフ練習場、バッティング練習場※2
⑧百貨店、マーケット、物品販売業を営む店舗
⑨キャバレー、カフェー、ナイトクラブ、バー※3
⑩待合、料理店
⑪映画スタジオ、テレビスタジオ"
"確認申請が不要な仮設建築物等：法85条1項、2項、6項、7項

①非常災害があった場合、応急仮設建築物として、
防○○地域を除く、国が災害救助のため建築するもの。
防○○地域を除く、被災者自ら使用のための延べ面積○○m2以内。災害発生後○○か月以内着工。

②災害があった場合の、停○○場、応急仮設建築物
（防火・準防火地域内の延べ面積50m2超は法62条が適用）

③現○○事務所、材料置場等の仮○○建築物は、確認申請不要
（防火・準防火地域内の延べ面積50m2超は法62条が適用）","仮設建築物等の確認申請：法85条2項、6項、7項

①非常災害があった場合、応急仮設建築物として、
防火地域を除く、国が災害救助のため建築するもの。
防火地域を除く、被災者自ら使用のための延べ面積30m2以内。災害発生後1か月以内着工。

②災害があった場合の、停車場、応急仮設建築物
（防火・準防火地域内の延べ面積50m2超は法62条が適用）

③現場事務所、材料置場等の仮設建築物は、確認申請不要
（防火・準防火地域内の延べ面積50m2超は法62条が適用）
"
"確認申請が必要な仮設建築物等：法85条6項
仮設興行場等（博覧会建築物、仮設店舗等）は、
法37条（建築材料の品質）や集団規定の一部は適用せずに、
1年以内の期間でその建築を許可できるが、確認申請は必要","確認申請が必要な仮設建築物等：法85条6項
仮設興行場等（博覧会建築物、仮設店舗等）は、
法37条（建築材料の品質）や集団規定の一部は適用せずに、
1年以内の期間でその建築を許可できるが、確認申請は必要"
"建築設備、工作物で確認申請が必要な概要：法88条2項、令138条3項
①高さが○○mを超える擁○○
②高さが○○mを超える広○○
③高さが○○mを超える煙○○
④高さが○○mを超える高○○
⑤高さが○○mを超える鉄○○ など","建築設備、工作物で確認申請が必要な概要：法88条2項、令138条3項
①高さが2mを超える擁壁（ようへき）
②高さが4mを超える広告塔
③高さが6mを超える煙突
④高さが8mを超える高架水槽
⑤高さが15mを超える鉄柱 など"
"消○○又は消○○の同意又は通知：法93条
消○○等の同意がなければ、確認、許可ができない。",消防長又は消防署長の同意又は通知：法93条
"保健所長に通知：法93条
屎○○槽等がある場合は、保○○に通知。","保健所長に通知：法93条
屎尿浄化槽等がある場合は、保健所長に通知。"
"建築基準関係規定：法6条1項
①建○○の規定
②建○○以外の規定（○○法令）
③建○○規定とみなす規定（○○法令）","建築基準関係規定：法6条1項
①建築基準法の規定
②建築基準法以外の規定（16法令）
③建築基準関係規定とみなす規定（3法令）"
"建築基準法令以外の規定（16法令）：令○○条
①消防法
②屋外広告物法、
③港湾法、
・・・","建築基準法令以外の規定（16法令）：令9条
①消防法
②屋外広告物法、
③港湾法、
・・・"
"建築基準関係規定とみなす規定（3法令）
①バ○○法
②都○○法
③建○○法","建築基準関係規定とみなす規定（3法令）
①バリアフリー法
②都市緑地法
③建築物省エネ法"
"構造計算適合性判定とは
・特定構○○基準
・特定増○○基準
に適合しているかの判定","構造計算適合性判定とは
・特定構造計算基準
・特定増改築構造計算基準
に適合しているかの判定"
"構造適判の対象建築物
①高さ60m超の建築物以外で下記のもの
1.木造で○○階以上 or 高さ○○m超
2.鉄骨造で○○階以上
3.RC造で高さ○○m超など
※60m超の建築物は、大臣認定となり構造計算適合判定から除かれる。

②許○○等計算、保○○計算、限○○計算によるもの

③許容応力度計算で、大○○プログラムによるもの","構造適判の対象建築物
①高さ60m超の建築物以外で下記のもの
1.木造で4階以上 or 高さ16m超
2.鉄骨造で4階以上
3.RC造で高さ20m超など
※60m超の建築物は、大臣認定となり構造計算適合判定から除かれる。

②許容応力度等計算、保有水平耐力計算、限界耐力計算によるもの

③許容応力度計算で、大臣認定プログラムによるもの"
