【001請負契約】,,【001請負契約】,
"■工具類の携帯に関する法律。
火薬取締法：びょう打ち機（火薬式）
軽犯罪法：ガラス切り
ピッキング防止法：
所持：特殊開錠用具（ピッキング用具、サムターン回し）
正当な理由なしの場合：マイナスドライバー、バール、ドリル。
銃刀法：正当な理由なく刃渡り6cm以上の刃物の携帯。",,"■工具類の携帯に関する法律。
火薬取締法：びょう打ち機（火薬式）
軽犯罪法：ガラス切り
ピッキング防止法：
所持：特殊開錠用具（ピッキング用具、サムターン回し）
正当な理由なしの場合：マイナスドライバー、バール、ドリル。
銃刀法：正当な理由なく刃渡り6cm以上の刃物の携帯。",
【004品質・材料管理】,,【004品質・材料管理】,
■品質管理,,■品質管理,
・デミングサークル：PDCA,,・デミングサークル：PDCA,
"・QCの7つ道具：
①パ○○
②特○○
③ヒ○○
④チ○○
⑤グ○○
⑥散○○
⑦管○○",,"・QCの7つ道具：
①パレート図
②特性要因図
③ヒストグラム
④チェックシート
⑤グラフ
⑥散布図
⑦管理図",
■材料管理,,■材料管理,
"・鋼材の検査方法
現物のチェック方法：
ラベル又はステンシル又はプリントマーク、端面塗色、ヘッドマーク（高力ボルト） 、包装・箱
書類のチェック方法：
納品書、原品証明書またはミルシート原本
ラベル、ミルシート
https://mikao-investor.com/2020/02/22/mill_sheet/
端面塗色
https://www.nikkenren.com/kenchiku/sekou/steel_frame_Q&A/A-2-4.pdf",,"・鋼材の検査方法
現物のチェック方法：
ラベル又はステンシル又はプリントマーク、端面塗色、ヘッドマーク（高力ボルト） 、包装・箱
書類のチェック方法：
納品書、原品証明書またはミルシート原本
ラベル、ミルシート
https://mikao-investor.com/2020/02/22/mill_sheet/
端面塗色
https://www.nikkenren.com/kenchiku/sekou/steel_frame_Q&A/A-2-4.pdf",
・鉄筋材料の検査方法,,・鉄筋材料の検査方法,
"現物のチェック方法：
1束ごとの表示タグ、圧延マーク
※圧延マークの見分け方は書いた方がいいかも。",,"現物のチェック方法：
1束ごとの表示タグ、圧延マーク
※圧延マークの見分け方は書いた方がいいかも。",
"書類のチェック方法：
納品書、原品証明書またはミルシート原本",,"書類のチェック方法：
納品書、原品証明書またはミルシート原本",
"■材料の取り扱い
・鉄筋：浮いていない○○は問題なし。（コンクリートとの付着に影響なし）
・塗料：塗料が付着した布片で引火の恐れがあるものは、○○の入った金属製の容器に入れておき、作業終了後分別して処理する。
・耐火被覆：RW吹付工法の測定用コア採取は床面積○○m2毎に各部位1回。1回につき○○個とする。
・セメント板、ALC板：欠けがあっても、使用上支障ない範囲だったら補修して利用可能。",,"■材料の取り扱い
・鉄筋：浮いていない赤錆は問題なし。（コンクリートとの付着に影響なし）
・塗料：塗料が付着した布片で引火の恐れがあるものは、水の入った金属製の容器に入れておき、作業終了後分別して処理する。
・耐火被覆：RW吹付工法の測定用コア採取は床面積1500m2毎に各部位1回。1回につき5個とする。
・セメント板、ALC板：欠けがあっても、使用上支障ない範囲だったら補修して利用可能。",
■材料の保管方法,,■材料の保管方法,
"既成コンクリート杭：まくら材は杭長の1/○○に配置。
まくら材上1段・移動止めくさび。
2段にできるのは、同径で1段目のまくら材を同一鉛直面に配置した時。",,"既成コンクリート杭：まくら材は杭長の1/5に配置。
まくら材上1段・移動止めくさび。
2段にできるのは、同径で1段目のまくら材を同一鉛直面に配置した時。",
"SL杭（負の摩擦力対応杭）：
長期間の保管は○○
（塗布された特殊アスファルトが、流動変形、損傷するおそれがあるため）",,"SL杭（負の摩擦力対応杭）：
長期間の保管はNG
（塗布された特殊アスファルトが、流動変形、損傷するおそれがあるため）",
"コンクリートブロック：
雨水を吸水しないよう養生。
積み上げ高さ○○m以下。",,"コンクリートブロック：
雨水を吸水しないよう養生。
積み上げ高さ1.6m以下。",
"鉄筋：
角材により地面から○○㎝以上離して保管。
シート等で覆い。",,"鉄筋：
角材により地面から10㎝以上離して保管。
シート等で覆い。",
"型枠用合板：
直○○をさける。
シートなどで覆い。（コンクリート表面硬化不良防止）",,"型枠用合板：
直射日光をさける。
シートなどで覆い。（コンクリート表面硬化不良防止）",
"高力ボルト：
乾燥場所に箱ごと保管（○○～○○段）。
施工直前開封。",,"高力ボルト：
乾燥場所に箱ごと保管（3～5段）。
施工直前開封。",
"溶接棒：
吸○○しないように常に乾燥させて保管。
吸湿疑い→乾燥器で再乾燥。",,"溶接棒：
吸湿しないように常に乾燥させて保管。
吸湿疑い→乾燥器で再乾燥。",
"アセチレンガスボンベ：
転○○のおそれないよう立て置き。",,"アセチレンガスボンベ：
転倒のおそれないよう立て置き。",
"耐火被覆材：
吸○○、汚○○を避ける。
シートなどで覆う。",,"耐火被覆材：
吸湿、汚染を避ける。
シートなどで覆う。",
"セメント：
床を地面から○○㎝以上高くした倉庫に保管。",,"セメント：
床を地面から30㎝以上高くした倉庫に保管。",
"板ガラス：
湿○○を避け、室内で○○かけ（裸台車のままOK）",,"板ガラス：
湿気を避け、室内で立てかけ（裸台車のままOK）",
"断熱材（ボード状）：
直○○避ける
屋内
平積み。",,"断熱材（ボード状）：
直射日光避ける
屋内
平積み。",
"可燃性塗料：
離隔距離○○m、
不燃材、
独立平屋建。",,"可燃性塗料：
離隔距離1.5m、
不燃材、
独立平屋建。",
